Index,Time,HIGH,LOW,LAST,FIRST
183,00:00.0,0.93183,0.93061,0.93149,0.93132
184,00:00.0,0.9316,0.9294,0.92997,0.9315
185,00:00.0,0.93024,0.92938,0.9294,0.92996
186,00:00.0,0.92952,0.928,0.92931,0.92943
187,00:00.0,0.92938,0.92846,0.92902,0.9293
188,00:00.0,0.92935,0.92832,0.92832,0.92892
189,00:00.0,0.9287,0.92796,0.92839,0.92827
190,00:00.0,,,,
191,00:00.0,,,,
192,00:00.0,,,,
193,00:00.0,0.92871,0.92768,0.92805,
194,00:00.0,0.92918,0.92742,0.92783,0.9281
195,00:00.0,0.92839,0.9262,0.92674,0.92782
196,00:00.0,0.92673,0.92545,0.92629,0.92673
197,00:00.0,0.92653,0.92518,0.92558,0.9263
198,00:00.0,0.92702,0.92535,0.92658,0.92557
199,00:00.0,0.92742,0.92629,0.92691,0.92656
200,00:00.0,0.92702,0.92561,0.92653,0.92692
201,00:00.0,0.92747,0.92591,0.92739,0.92652
202,00:00.0,0.92842,0.92737,0.92776,0.92738
203,00:00.0,0.92894,0.92774,0.92816,0.92777
204,00:00.0,0.92831,0.92741,0.92787,0.92811
205,00:00.0,0.9289,0.92478,0.92482,0.92786
206,00:00.0,0.92491,0.92145,0.92151,0.92483
207,00:00.0,0.92228,0.91892,0.922,0.92153
208,00:00.0,0.9229,0.92063,0.92063,0.92202
209,00:00.0,0.92115,0.91914,0.92044,0.92064
210,00:00.0,0.92077,0.91964,0.9198,0.92043
211,00:00.0,0.92008,0.91936,0.91962,0.91982
212,00:00.0,0.9217,0.91931,0.92093,0.91961
213,00:00.0,0.9212,0.92039,0.92049,0.92089
214,00:00.0,0.92086,0.9201,0.92079,
215,00:00.0,0.92122,0.92035,0.92109,0.9206
216,00:00.0,0.92145,0.92032,0.92067,0.92119
217,00:00.0,0.92187,0.92051,0.92121,
218,00:00.0,0.92157,0.91924,0.91966,0.9212
219,00:00.0,0.91967,0.91635,0.91641,0.91964
220,00:00.0,0.91755,0.91638,0.91662,0.91639
221,00:00.0,0.91694,0.91579,0.91648,0.9166
222,00:00.0,0.91673,0.91577,0.91594,0.91649
223,00:00.0,0.91659,0.9156,0.91569,0.91592
224,00:00.0,0.91568,0.91282,0.91287,0.91568
225,00:00.0,0.91325,0.91136,0.91299,0.91286
226,00:00.0,0.91453,0.91264,0.9145,0.91301
227,00:00.0,0.91536,0.91428,0.91479,0.91451
228,00:00.0,0.91496,0.91356,0.91409,0.91482
229,00:00.0,0.9147,0.91322,0.91459,0.91411
230,00:00.0,0.91567,0.91404,0.91494,0.9146
231,00:00.0,0.91622,0.9139,0.9156,0.91496
232,00:00.0,0.91573,0.91451,0.91527,0.91561
233,00:00.0,0.91564,0.91457,0.91562,0.91528
234,00:00.0,0.91612,0.91498,0.91587,0.91561
235,00:00.0,0.91687,0.91555,0.9158,0.91592
236,00:00.0,0.91647,0.91571,0.91627,0.91579
237,00:00.0,0.91675,0.91559,0.91649,0.91647
238,00:00.0,0.9164,0.9151,0.91622,
239,00:00.0,0.91685,0.91602,0.91629,0.91618
240,00:00.0,0.91651,0.91546,0.91546,0.9164
241,00:00.0,0.91656,0.91551,0.91627,
242,00:00.0,0.92192,0.91587,0.91982,0.91626
243,00:00.0,0.91985,0.91776,0.91888,0.91981
244,00:00.0,0.91972,0.9188,0.91958,0.91887
245,00:00.0,0.91968,0.91819,0.91853,0.9196
246,00:00.0,0.91909,0.91761,0.91763,0.91851
247,00:00.0,0.91783,0.91524,0.91611,0.91764
248,00:00.0,0.91698,0.9153,0.91652,0.9161
249,00:00.0,0.91656,0.91255,0.91306,0.91653
250,00:00.0,0.91429,0.9127,0.91417,0.91305
251,00:00.0,0.91442,0.9117,0.91222,0.91416
252,00:00.0,0.91259,0.91116,0.91124,0.91221
253,00:00.0,0.91368,0.91078,0.91346,0.91122
254,00:00.0,0.91347,0.90999,0.91036,0.91345
255,00:00.0,0.9119,0.90971,0.91104,0.91033
256,00:00.0,0.91167,0.91081,0.91153,0.91103
257,00:00.0,0.91171,0.91117,0.91143,0.91152
258,00:00.0,0.91179,0.91068,0.91091,0.91142
259,00:00.0,0.91132,0.90937,0.90973,0.91086
260,00:00.0,0.91001,0.90895,0.90909,0.90972
261,00:00.0,0.91045,0.90906,0.91043,0.90911
262,00:00.0,0.9111,0.91036,0.911,
263,00:00.0,0.9111,0.91039,0.91069,0.9109
264,00:00.0,0.9107,0.9096,0.90968,0.9106
265,00:00.0,0.90993,0.90837,0.90923,
266,00:00.0,0.90951,0.90605,0.90699,0.90924
267,00:00.0,0.90764,0.90661,0.9075,0.907
268,00:00.0,0.9077,0.90653,0.90659,0.90749
269,00:00.0,0.90703,0.90548,0.90649,0.90661
270,00:00.0,0.90669,0.9054,0.90596,0.9065
271,00:00.0,0.90803,0.90565,0.90669,0.906
272,00:00.0,0.90683,0.90601,0.90615,0.9067
273,00:00.0,0.90629,0.90454,0.90483,0.90614
274,00:00.0,0.9061,0.90439,0.90603,0.90481
275,00:00.0,0.90637,0.90506,0.90555,0.90602
276,00:00.0,0.90659,0.90517,0.9054,0.90556
277,00:00.0,0.90696,0.90468,0.90607,0.90542
278,00:00.0,0.90609,0.90344,0.90385,0.90608
279,00:00.0,0.9058,0.90385,0.90445,0.90387
